AreaCode,borough,Re2000,Re2001,Re2002,Re2003,Re2004,Re2005,Re2006,Re2007,Re2008,Re2009,Re2010,Re2011,Re2012,Off2000,Off2001,Off2002,Off2003,Off2004,Off2005,Off2006,Off2007,Off2008,Off2009,Off2010,Off2011,Off2012,In2000,In2001,In2002,In2003,In2004,In2005,In2006,In2007,In2008,In2009,In2010,In2011,In2012,Oth2000,Oth2001,Oth2002,Oth2003,Oth2004,Oth2005,Oth2006,Oth2007,Oth2008,Oth2009,Oth2010,Oth2011,Oth2012,SPD2000,SPD2001,SPD2002,SPD2003,SPD2004,SPD2005,SPD2006,SPD2007,SPD2008,SPD2009,SPD2010,SPD2011,SPD2012
E09000012,Hackney,17.04312115,17.49347258,17.82863225,18.07879115,18.30136986,18.31146606,19.64827168,19.76382846,20.61317678,21.94121668,22.33748271,22.52066116,22.51882272,23.10061602,23.91644909,24.42788717,25.41824069,27.28767123,29.09298346,30.92783505,31.88315724,33.33333333,34.92822967,35.82295989,36.50137741,37.37166324,54.5174538,52.68929504,51.78286323,50.62061522,48.60273973,45.57900742,42.20739842,40.95711622,38.74755382,35.33834586,33.74827109,32.78236915,31.62217659,5.338809035,5.90078329,5.96061735,5.882352941,5.808219178,7.016543069,7.216494845,7.395898073,7.305936073,7.792207792,8.091286307,8.195592287,8.48733744,2.614541706,2.71076233,2.753625664,2.801137388,2.877268231,3.02261892,3.148487876,3.185393763,3.235446206,3.321249071,3.348219175,3.354148968,3.360513684
E09000013,Hammersmith and Fulham,21.29521587,21.12346401,20.94907407,20.93156987,20.6588498,21.13727743,21.12436116,21.90252496,25.8519389,26.26865672,31.67938931,32.35133661,32.20524017,37.57292882,38.09245173,39.12037037,40.02300173,42.37855946,43.99770247,44.74730267,44.56840869,45.12338425,45.07462687,41.3304253,41.18930715,41.64847162,31.68028005,31.18782914,30.38194444,29.55721679,27.97319933,26.99597932,26.34866553,25.54315913,21.09283196,20.53731343,18.70229008,18.11238407,18.01310044,9.451575263,9.59625512,9.548611111,9.488211616,8.989391401,7.869040781,7.779670642,7.985907223,7.931844888,8.119402985,8.287895311,8.346972177,8.133187773,3.380452768,3.376092206,3.351761761,3.329308745,3.240399312,3.151306494,3.121746378,3.142389843,3.113068896,3.115778988,3.194630337,3.183802439,3.162162111
E09000014,Haringey,26.69270833,26.58064516,26.6536965,26.84210526,26.94848085,27.50677507,28.42535787,28.5615967,29.29436921,29.93445011,30.44733045,31.03448276,31.75319789,9.9609375,9.870967742,9.792477302,9.473684211,9.445178336,9.823848238,10.0204499,10.18582244,10.69137562,10.92498179,10.75036075,10.71166544,10.60948081,56.640625,56.32258065,56.29053178,56.25,56.40686922,55.4200542,54.26039536,54.02615279,52.53029223,51.49308084,50.50505051,49.88994864,49.28517682,6.705729167,7.225806452,7.263294423,7.434210526,7.199471598,7.249322493,7.293796864,7.22642808,7.483962937,7.647487254,8.297258297,8.363903155,8.35214447,2.460116494,2.482367698,2.482811766,2.481648647,2.469746043,2.514416563,2.560294707,2.570322592,2.639980419,2.684240953,2.730588051,2.749639231,2.76272581
E09000015,Harrow,30.96774194,30.35551504,30.95238095,31.13553114,31.87732342,32.13627993,34.05088063,34.19226957,34.50351053,35.81296493,35.76719577,36.20873269,36.4516129,30.59907834,28.8969918,28.20512821,27.93040293,25.92936803,24.30939227,24.55968689,24.57879088,23.77131394,25.07970244,24.97354497,24.49414271,24.08602151,32.62672811,35.00455789,35.07326007,35.07326007,36.15241636,36.83241252,34.24657534,34.2913776,34.40320963,30.60573858,30.37037037,30.3514377,30.43010753,5.806451613,5.742935278,5.769230769,5.860805861,6.040892193,6.721915285,7.142857143,6.937561943,7.321965898,8.501594049,8.888888889,8.945686901,9.032258065,3.340545679,3.316976431,3.31455446,3.317837567,3.298168849,3.30524121,3.348413446,3.336384342,3.34139766,3.424014632,3.443120699,3.433747045,3.428850073
E09000016,Havering,32.89855072,33.45401883,34.85064011,35.52447552,35.76896312,35.53719008,35.68493151,36.22693096,35.26635199,35.13513514,35.67493113,35.95818815,35.63535912,11.73913043,11.73062998,11.3086771,11.04895105,11.13430759,11.29476584,11.09589041,11.00478469,10.31692515,10.27027027,10.33057851,10.66202091,10.63535912,49.27536232,48.73280232,47.51066856,47.2027972,46.69450244,46.83195592,46.78082192,46.34313055,47.87592717,47.83783784,46.7630854,45.99303136,46.27071823,6.086956522,6.082548878,6.330014225,6.223776224,6.402226862,6.336088154,6.438356164,6.425153794,6.540795684,6.756756757,7.231404959,7.386759582,7.458563536,2.713531752,2.725789047,2.74741427,2.739045292,2.758805933,2.759502419,2.757532244,2.760551809,2.713674059,2.721778202,2.763575352,2.795956828,2.793608834
E09000017,Hillingdon,15.6846473,16.42628205,16.71353957,16.90028034,16.77905593,16.98950767,17.85865425,17.85109983,17.22706517,18.42677097,18.66783523,18.81318681,18.99563319,28.34024896,28.84615385,27.52109281,27.39287145,27.80642602,28.69249395,28.98857385,29.39932318,27.97841428,29.11777488,28.48378615,28.7032967,28.99563319,52.03319502,50.96153846,51.78786661,51.62194634,51.28917096,50.12106538,48.70926788,48.39255499,50.4358655,47.84876141,48.11568799,47.73626374,47.16157205,3.941908714,3.766025641,3.977501004,4.084901882,4.125347084,4.19693301,4.44350402,4.357021997,4.358655044,4.606692742,4.732690622,4.747252747,4.847161572,2.65099406,2.693106012,2.677694056,2.689979356,2.70100064,2.746017024,2.815627277,2.821825703,2.745489417,2.858681409,2.859322529,2.874304488,2.899147631
E09000018,Hounslow,16.41729011,16.26754748,15.88635454,15.16190476,14.79222265,14.92652746,15.03319016,16.01080247,16.10764431,16.65335463,16.76022454,17.00680272,16.90251572,24.85453034,24.85549133,26.97078832,28.19047619,29.08882958,29.54369683,30.02733307,30.24691358,29.79719189,29.51277955,29.51082598,29.9719888,29.71698113,53.8237739,53.9223782,52.26090436,52.07619048,51.58215783,51.08275329,50.3319016,49.03549383,49.2199688,48.68210863,48.43624699,46.29851941,45.71540881,4.904405653,4.954582989,4.881952781,4.571428571,4.536789935,4.447022428,4.607575166,4.706790123,4.875195008,5.151757188,5.292702486,6.722689076,7.66509434,2.625824988,2.621507314,2.67749426,2.661404979,2.669320806,2.684668308,2.71579164,2.779433776,2.782646091,2.821012394,2.836174051,2.961823079,3.014366823
E09000019,Islington,16.918429,16.67938931,16.03487491,16.07692308,16.09016712,15.82253632,16.66666667,17.41548994,17.68266321,18.22985469,18.21029083,17.84305129,17.6119403,47.99848943,50,53.79075057,55,56.31558492,59.04986258,59.04995905,58.27984596,58.66839602,58.87274328,59.2393736,60.89434459,62.04690832,30.58912387,28.93129771,25.81501137,24.76923077,23.86319471,20.84805654,19.73791974,19.51219512,18.80674449,18.05372083,17.94183445,16.70320035,15.94882729,4.493957704,4.389312977,4.359363154,4.153846154,3.731053245,4.279544562,4.545454545,4.792468977,4.842196282,4.843681198,4.608501119,4.55940377,4.392324094,2.820096155,2.751419119,2.606895136,2.554776525,2.491459648,2.38652384,2.395254288,2.436924325,2.420253979,2.410959884,2.390019784,2.311454246,2.255474494
E09000020,Kensington and Chelsea,50.20920502,51.15303983,50.56100982,50.88090204,50.83333333,51.37362637,51.15961801,51.89524466,52.12247738,51.91370912,51.06237149,52.41765943,52.4738676,33.9609484,33.05380853,32.74894811,32.76955603,32.91666667,32.41758242,32.87858117,33.56305996,33.40292276,33.95963814,34.95544894,33.77715487,33.79790941,10.39051604,10.27253669,10.79943899,10.57082452,10.55555556,10.23351648,10.02728513,8.476912474,8.489909534,8.350730689,8.224811515,8.058864751,8.083623693,5.439330544,5.520614955,5.890603086,5.778717407,5.694444444,5.975274725,5.934515689,6.064782908,5.984690327,5.77592206,5.75736806,5.746320953,5.644599303,2.623391601,2.600651763,2.645337205,2.626156693,2.623720784,2.610572151,2.608192699,2.545672516,2.537811501,2.530757437,2.544500772,2.508483241,2.504375185
E09000021,Kingston upon Thames,36.12297182,36.48881239,37.20930233,37.34835355,37.10094909,37.06597222,36.78665496,36.85121107,37.39054291,37.87610619,37.18285214,36.87445127,37.54416961,26.98548249,27.36660929,26.87338501,27.98960139,27.78257118,26.90972222,26.95346795,26.38408304,26.1821366,25.39823009,25.28433946,25.46093064,25.61837456,30.05977797,29.43201377,29.11283376,27.64298094,27.95513374,27.86458333,27.91922739,28.37370242,28.02101576,28.14159292,28.34645669,28.53380158,27.65017668,6.83176772,6.712564544,6.804478898,7.019064125,7.161345988,8.159722222,8.340649693,8.39100346,8.406304729,8.584070796,9.186351706,9.130816506,9.187279152,3.351938087,3.342618357,3.332701204,3.342559963,3.354437144,3.400162949,3.414371024,3.413426515,3.402054541,3.395234069,3.436694226,3.441708384,3.430762229
E09000022,Lambeth,21.31147541,21.82410423,21.83718372,22.3476298,22.37442922,21.86421174,22.121384,22.84710018,23.14540059,23.13609467,22.66435986,22.91057861,23.28042328,33.93442623,34.58197611,34.26842684,33.5778781,33.73287671,35.21288838,36.47192286,35.85237258,35.66765579,37.21893491,37.37024221,37.22969024,37.21340388,37.10382514,35.88490771,35.97359736,36.06094808,35.84474886,34.34982739,32.78502552,32.68892794,32.28486647,30.65088757,30.39215686,29.86557569,29.27689594,7.650273224,7.709011944,7.920792079,8.013544018,8.047945205,8.573072497,8.621667612,8.611599297,8.902077151,8.99408284,9.573241061,9.994155465,10.2292769,3.288451681,3.31196008,3.324438991,3.342805373,3.346566217,3.365417568,3.368423505,3.389706113,3.41360911,3.400321448,3.418174294,3.444973199,3.461896301
E09000023,Lewisham,35.25179856,36.40737771,36.20967742,35.62197092,35.55194805,35.12632437,34.32588916,35.12396694,36.09215017,37.07274321,36.82373473,38.65313653,39.20296571,11.67066347,11.30713713,11.53225806,12.35864297,12.25649351,12.63243684,13.06865178,13.30578512,13.5665529,13.93514461,13.35078534,13.83763838,13.80908248,45.40367706,44.4266239,44.59677419,44.3457189,43.58766234,42.95028525,43.09346567,41.90082645,40.27303754,38.47502191,39.09249564,36.25461255,35.77386469,7.673860911,7.858861267,7.661290323,7.673667205,8.603896104,9.290953545,9.511993383,9.669421488,10.06825939,10.51709027,10.73298429,11.25461255,11.21408712,2.857734229,2.866286218,2.863933364,2.900998645,2.951529412,3.007983841,3.033445746,3.067565642,3.115282207,3.165044696,3.146978621,3.198353811,3.191738836
E09000024,Merton,24.59478506,25.30378842,25.42857143,25.49435028,25.72030921,26.00864553,25.92857143,26.11190818,26.41648271,27.22627737,27.58870384,27.56874096,27.95933188,18.25229035,19.08506076,18.64285714,18.50282486,18.27125791,19.02017291,19.64285714,19.51219512,19.35246505,18.97810219,19.04417089,19.46454414,19.31735657,51.51515152,50.17869907,50.57142857,50.63559322,50.73787772,48.70317003,48.07142857,47.91965567,47.60853569,47.15328467,46.48805214,46.23733719,45.96949891,5.63777308,5.432451751,5.357142857,5.367231638,5.270555165,6.268011527,6.357142857,6.456241033,6.622516556,6.642335766,6.879073135,6.729377713,6.753812636,2.759652323,2.815367132,2.793033377,2.789332666,2.779720371,2.898968042,2.933060379,2.940714645,2.956149491,2.968247391,3.000950404,3.010162461,3.017780777
E09000025,Newham,22.3888056,22.56308758,22.72960493,23.08462694,23.95679921,24.07315868,24.21722114,24.51612903,24.58128079,26.32135307,26.19172342,26.45833333,32.08845209,8.595702149,9.104403761,9.030271934,8.963445168,8.689248895,8.84824518,10.22504892,10.42183623,10.34482759,12.68498943,13.56731273,13.54166667,11.89189189,63.86806597,62.44433449,62.08311955,62.24336505,61.51202749,60.89965398,59.63796477,59.00744417,59.06403941,54.06976744,52.59298062,52.5,48.74692875,5.147426287,5.888174171,6.157003592,5.708562844,5.841924399,6.178942165,5.919765166,6.054590571,6.009852217,6.923890063,7.647983237,7.5,7.272727273,2.13640038,2.209481569,2.226971522,2.212356326,2.238494144,2.270273524,2.33494513,2.365077202,2.360754497,2.614240623,2.706659101,2.705686169,2.777591467
E09000026,Redbridge,41.04683196,41.8115279,42.33983287,42.30055659,42.51162791,43.41603053,43.11490978,43.5282838,43.28502415,43.96467125,43.46153846,43.78640777,43.62220058,16.62075298,16.65141812,16.80594243,16.14100186,15.72093023,15.83969466,15.47958215,15.0527325,14.68599034,14.81844946,14.80769231,15.14563107,15.18987342,33.70064279,33.02836231,31.94057567,32.56029685,32.8372093,31.29770992,31.62393162,31.35186961,31.78743961,30.81452404,30.19230769,29.22330097,29.30866602,8.631772268,8.508691674,8.913649025,8.998144712,8.930232558,9.446564885,9.781576448,10.06711409,10.24154589,10.40235525,11.53846154,11.84466019,11.87925998,3.153248514,3.13603085,3.149849694,3.133805438,3.112920387,3.120483228,3.130610447,3.119557581,3.120512111,3.115048734,3.171698689,3.183763377,3.19107178
E09000027,Richmond upon Thames,35.16129032,35.0372737,35.00533618,35.19913886,35.07057546,35.51609323,35.82589286,33.97027601,34.18259023,34.29796356,34.10770855,34.22459893,34.40860215,28.38709677,29.71246006,30.3094984,31.32400431,32.13897937,33.07436182,33.25892857,32.69639066,32.59023355,32.36870311,31.67898627,31.97860963,32.25806452,25.48387097,24.17465389,23.58591249,22.06673843,21.3897937,21.08768036,20.08928571,18.57749469,18.57749469,18.32797428,20.06335797,19.46524064,18.92473118,10.96774194,11.07561235,11.09925293,11.41011841,11.40065147,10.32186459,10.82589286,14.75583864,14.64968153,15.00535906,14.1499472,14.3315508,14.40860215,3.556361483,3.549215665,3.541668516,3.524472069,3.508331989,3.440519934,3.435918067,3.589514987,3.583832118,3.590459692,3.610560219,3.599396412,3.583859579
E09000028,Southwark,14.978602,15.01426534,15.29796512,15.4589372,15.54809843,15.55555556,15.9348978,15.93220339,15.60650888,15.85046729,16.04892513,16.08469539,15.99115696,36.84022825,38.12410842,38.15406977,38.94463025,39.93288591,40.2259887,40.65102195,41.65725047,43.34319527,44.14953271,45.51519644,46.09955423,46.79439941,42.68901569,41.0128388,40.44331395,39.57636566,38.4787472,36.94915254,36.14685844,35.06591337,33.65384615,32.6728972,30.65233506,30.05200594,29.40309506,5.492154066,5.848787447,6.104651163,6.02006689,6.040268456,7.269303202,7.267221802,7.344632768,7.396449704,7.327102804,7.783543365,7.763744428,7.811348563,2.911990827,2.945389185,2.973810378,2.977792024,2.981979091,3.050465574,3.062004574,3.055559047,3.021618601,3.010576276,3.003589021,2.987495733,2.966485757
E09000029,Sutton,30.91095189,31.44278607,32.60654113,32.01189296,32.19178082,31.38195777,32.55131965,32.84313725,32.93768546,33.9,33.04263566,33.2038835,33.33333333,20.16376663,19.90049751,19.22695738,18.9296333,18.6888454,18.33013436,18.47507331,18.33333333,16.91394659,16.1,15.40697674,15.63106796,15.93352884,43.29580348,42.68656716,42.41823588,43.11199207,42.56360078,44.3378119,42.91300098,42.74509804,44.01582591,43.7,44.37984496,43.78640777,43.20625611,5.629477994,5.970149254,5.74826561,5.946481665,6.555772994,5.950095969,6.060606061,6.078431373,6.132542038,6.3,7.170542636,7.378640777,7.52688172,3.059711444,3.084074053,3.062588554,3.051481409,3.086208323,3.010174717,3.049549064,3.049827927,2.988666634,2.978140449,2.984916004,3.013389687,3.04097134
